Customer ID,Customer Name,Customer Balance,Invoice Total,Invoice applied amount,Invoice exchange rate,Payment Total,Payment applied amount,Payment exchange rate,Credit Total,Credit applied amount,Credit exchange rate,Adjustment Total,Adjustment applied amount,Adjustment exchange rate,Expected Balance,Delta,Abs Delta,Likely Cause
CUST-0858,Customer 0858,2697.59,4403.99,1263.47,0.9727,1750.15,1103.01,1.0055,656.16,158.94,1.1827,918.93,630.7,1.0183,2109.53,588.06,588.06,Check Invoice/exchange rate/rounding
CUST-0468,Customer 0468,2345.53,4708.91,1076.67,1.0374,1205.02,793.54,0.8566,1471.96,265.24,1.0013,931.31,185.9,0.9432,2910.39,-564.86,564.86,Check Invoice/exchange rate/rounding
CUST-0161,Customer 0161,-1280.51,627.93,21.88,0.9793,3928.92,2057.9,1.1965,1378.67,808.39,0.9566,488.05,71.48,0.8754,-1826.04,545.53,545.53,Check Payments/exchange rate/rounding
CUST-0803,Customer 0803,2317.95,4461.1,602.6,0.8245,1249.55,57.56,1.1041,986.14,349.26,0.8511,1032.64,613.91,1.0811,1775.9,542.05,542.05,Check Invoice/exchange rate/rounding
CUST-0767,Customer 0767,-357.89,1022.78,1012.37,0.9781,2050.21,1350.71,0.9434,1664.14,1210.76,1.1192,375.12,93.45,1.0361,-865.31,507.42,507.42,Check Payments/exchange rate/rounding
CUST-0722,Customer 0722,1668.17,2221.57,489.1,1.123,2059.76,1118.59,0.8257,758.06,654.57,0.9972,1482.29,414.13,1.0192,2153.91,-485.74,485.74,Check Invoice/exchange rate/rounding
CUST-0982,Customer 0982,1148.77,4109.71,1554.29,0.9113,1764.07,395.04,1.0157,1931.16,1730.67,1.0278,17.9,4.87,0.8933,743.81,404.96,404.96,Check Invoice/exchange rate/rounding
CUST-0685,Customer 0685,2658.31,3209.25,378.19,0.9141,737.89,735.61,0.9682,445.38,10.6,0.8985,211.34,147.49,1.1377,2267.66,390.65,390.65,Check Invoice/exchange rate/rounding
CUST-0781,Customer 0781,974.71,1345.89,228.42,0.8468,339.9,104.9,1.1982,761.33,581.14,1.0384,271.56,126.27,0.8179,596.42,378.29,378.29,Check Invoice/exchange rate/rounding
CUST-0225,Customer 0225,1028.37,1503.59,258.56,1.1594,556.02,121.44,0.9922,1019.5,672.14,0.9072,73.57,54.41,0.8386,713.24,315.13,315.13,Check Invoice/exchange rate/rounding
CUST-0193,Customer 0193,-614.96,701.51,613.88,1.0884,2213.73,1222.77,0.849,389.68,215.83,0.8456,780.27,237.84,1.0643,-315.65,-299.31,299.31,Check Payments/exchange rate/rounding
CUST-0234,Customer 0234,2172.46,3020.61,2052.59,1.1799,399.73,308.99,0.962,451.3,168.72,1.0431,1364.01,375.26,1.1303,1877.7,294.76,294.76,Check Invoice/exchange rate/rounding
CUST-0926,Customer 0926,1164.99,1340.95,61.63,1.0359,2240.23,764.71,0.8677,338.07,65.51,0.9879,1457.53,265.48,0.9396,895.73,269.26,269.26,Check Invoice/exchange rate/rounding
CUST-0041,Customer 0041,1296.33,2242.04,205.65,0.9139,1518.88,671.94,0.8963,906.64,598.54,0.8681,166.4,2.49,1.1859,1028.86,267.47,267.47,Check Invoice/exchange rate/rounding
CUST-0667,Customer 0667,1052.95,4056.41,3441.38,1.1581,844.88,685.11,0.9029,1612.44,1244.17,0.9828,1448.68,427.3,1.0808,1309.98,-257.03,257.03,Check Adjustments/exchange rate/rounding
CUST-0053,Customer 0053,1101.27,3955.93,1088.48,0.981,2593.79,1419.23,1.0234,1698.13,626.85,1.1635,1379.46,952.24,1.1488,855.28,245.99,245.99,Check Invoice/exchange rate/rounding
CUST-0343,Customer 0343,3109.45,4024.33,1938.78,1.0912,630.41,358.42,1.1475,1761.61,1546.56,1.0687,1254.19,22.8,0.9305,2879.63,229.82,229.82,Check Invoice/exchange rate/rounding
CUST-0813,Customer 0813,959.21,4966.11,3689.35,1.0774,2256.29,1145.54,1.0716,676.17,474.27,1.0346,944.41,284.81,1.1733,750.32,208.89,208.89,Check Invoice/exchange rate/rounding
CUST-0129,Customer 0129,-126.79,606.67,395.97,0.8359,2755.59,2200.15,1.1667,1069.6,910.51,1.0435,422.71,52.34,0.8339,-329.07,202.28,202.28,Check Payments/exchange rate/rounding
CUST-0074,Customer 0074,-2113.69,1246.3,1166.46,1.1422,2894.24,505.97,1.0023,365.98,193.91,0.9797,1015.31,812.41,0.9309,-2282.27,168.58,168.58,Check Payments/exchange rate/rounding
CUST-0637,Customer 0637,-196.77,3409.0,1375.04,0.9858,3288.51,1119.29,0.905,244.1,121.3,0.9041,856.83,830.26,1.1093,-39.62,-157.15,157.15,Check Invoice/exchange rate/rounding
CUST-0024,Customer 0024,920.06,4476.29,2378.76,0.8993,2282.92,2060.04,1.0518,1756.77,848.0,0.9653,728.25,725.65,1.1071,777.53,142.53,142.53,Check Invoice/exchange rate/rounding
CUST-0857,Customer 0857,1299.02,3694.13,827.28,1.0643,3217.17,1489.7,1.0326,466.74,91.89,1.1528,988.7,623.65,0.8892,1159.88,139.14,139.14,Check Invoice/exchange rate/rounding
CUST-0156,Customer 0156,3106.94,3393.98,229.16,1.1427,1327.0,8.39,0.8015,194.06,144.43,1.1895,1371.64,466.53,0.8142,3237.48,-130.54,130.54,Check Invoice/exchange rate/rounding
CUST-0732,Customer 0732,-38.79,349.71,17.79,0.9195,3627.61,3323.37,1.1546,1085.38,475.57,1.0124,565.13,19.94,0.9509,-145.03,106.24,106.24,Check Credits/exchange rate/rounding
CUST-0849,Customer 0849,-503.42,831.93,342.97,1.107,945.07,129.1,0.84,403.64,86.78,1.1189,567.71,453.76,0.8704,-399.49,-103.93,103.93,Check Payments/exchange rate/rounding
CUST-0061,Customer 0061,-948.16,3375.17,3216.28,1.1782,2391.12,2311.78,0.8674,1270.23,216.62,1.0585,1285.52,1135.95,0.9659,-852.39,-95.77,95.77,Check Credits/exchange rate/rounding
CUST-0212,Customer 0212,-1216.04,2947.47,2436.41,0.9821,2805.08,1000.55,0.898,1499.97,1180.59,1.1893,571.21,238.4,1.1095,-1129.14,-86.9,86.9,Check Payments/exchange rate/rounding
CUST-0266,Customer 0266,-1489.13,911.11,734.53,0.8506,912.32,466.95,0.8199,1676.73,91.53,1.1858,1071.68,454.77,0.8547,-1567.42,78.29,78.29,Check Credits/exchange rate/rounding
CUST-0438,Customer 0438,173.0,2572.2,1326.63,1.0657,1289.36,304.66,0.8817,628.39,224.81,1.1194,1131.59,1032.98,0.8954,95.72,77.28,77.28,Check Invoice/exchange rate/rounding
CUST-0433,Customer 0433,3493.86,3520.79,123.85,1.0345,3938.43,3274.26,1.0632,218.18,156.11,1.1529,878.7,248.54,1.0884,3422.29,71.57,71.57,Check Invoice/exchange rate/rounding
CUST-0474,Customer 0474,-1416.32,757.06,376.75,1.0079,1638.01,66.34,0.8831,1136.87,523.93,0.8102,123.62,103.22,0.8327,-1484.24,67.92,67.92,Check Payments/exchange rate/rounding
CUST-0873,Customer 0873,-453.06,4898.2,4827.77,0.8081,446.09,310.42,0.8478,875.81,228.86,0.8065,984.96,805.78,1.0754,-387.18,-65.88,65.88,Check Credits/exchange rate/rounding
CUST-0635,Customer 0635,-1590.33,338.62,332.86,1.0084,2356.08,1527.95,0.8453,1584.93,184.37,0.8431,967.2,615.25,0.9948,-1524.9,-65.43,65.43,Check Credits/exchange rate/rounding
CUST-0725,Customer 0725,-3199.52,604.71,299.7,0.8672,3278.91,230.05,1.1202,847.92,726.34,1.0027,908.75,896.6,0.8188,-3262.79,63.27,63.27,Check Payments/exchange rate/rounding
CUST-0677,Customer 0677,9.95,4584.96,3339.57,0.9889,1288.14,143.45,0.866,871.38,231.24,1.111,885.95,430.05,0.9186,-52.14,62.09,62.09,Check Invoice/exchange rate/rounding
CUST-0543,Customer 0543,2481.96,4211.44,1519.53,0.9359,3543.55,3506.9,1.0394,1845.98,1196.94,0.9257,663.32,106.31,0.9711,2421.36,60.6,60.6,Check Invoice/exchange rate/rounding
CUST-0108,Customer 0108,369.33,1433.98,559.34,1.1971,2585.71,1882.07,0.9152,258.5,146.88,1.136,673.64,638.12,0.98,311.07,58.26,58.26,Check Invoice/exchange rate/rounding
CUST-0395,Customer 0395,-1569.31,160.28,133.79,1.0381,2961.78,1064.28,0.9735,1202.24,1028.44,0.8243,1112.03,719.13,1.1484,-1511.77,-57.54,57.54,Check Payments/exchange rate/rounding
CUST-0506,Customer 0506,585.34,4019.37,2032.85,0.8213,2268.44,901.65,0.945,81.47,59.93,0.9117,938.31,709.41,0.9207,531.02,54.32,54.32,Check Invoice/exchange rate/rounding
CUST-0969,Customer 0969,-1335.06,2816.64,1330.77,1.0295,1728.36,53.85,1.0483,1195.28,104.33,1.1652,269.48,162.47,1.0073,-1389.07,54.01,54.01,Check Payments/exchange rate/rounding
CUST-0587,Customer 0587,61.47,969.78,334.23,0.9337,1561.79,789.89,1.0275,6.99,1.02,0.8561,489.15,297.76,1.1105,7.71,53.76,53.76,Check Payments/exchange rate/rounding
CUST-0254,Customer 0254,-70.65,1314.41,814.37,1.035,1955.9,1038.11,1.1216,714.03,436.18,1.1333,1166.91,368.53,0.88,-124.16,53.51,53.51,Check Payments/exchange rate/rounding
CUST-0337,Customer 0337,-1762.38,565.97,106.18,1.1473,2098.67,38.26,1.078,854.85,549.14,1.1312,631.1,381.29,0.8978,-1815.14,52.76,52.76,Check Payments/exchange rate/rounding
CUST-0437,Customer 0437,-220.09,712.13,155.75,1.035,1315.14,1089.91,1.132,1013.81,90.76,0.9682,419.13,96.75,0.9347,-271.48,51.39,51.39,Check Credits/exchange rate/rounding
CUST-0016,Customer 0016,1048.52,1213.47,215.07,1.0088,2835.78,1554.76,0.9165,117.33,113.52,0.8964,1266.81,130.69,1.0284,998.1,50.42,50.42,Check Payments/exchange rate/rounding
CUST-0502,Customer 0502,-292.68,4443.37,4268.24,1.0732,2282.04,1038.38,1.0027,653.98,478.97,1.1111,954.79,49.87,1.008,-341.36,48.68,48.68,Check Payments/exchange rate/rounding
CUST-0511,Customer 0511,-1193.45,453.09,59.43,0.985,3836.29,2259.53,0.8405,1572.78,948.68,0.9152,886.8,487.19,0.9085,-1145.64,-47.81,47.81,Check Payments/exchange rate/rounding
CUST-0187,Customer 0187,-1302.83,1930.92,769.48,1.1273,2908.04,302.83,0.8091,1438.92,374.97,0.9496,1119.07,648.86,1.176,-1255.94,-46.89,46.89,Check Payments/exchange rate/rounding
CUST-0216,Customer 0216,-684.51,3721.02,1942.07,0.8351,2991.61,555.02,0.9795,310.8,21.22,0.8252,1115.93,627.32,0.8366,-731.23,46.72,46.72,Check Payments/exchange rate/rounding
CUST-0014,Customer 0014,-2658.23,4131.53,3925.21,0.9764,2792.76,120.1,1.0905,1252.2,899.27,0.9446,448.85,72.57,0.9154,-2702.02,43.79,43.79,Check Payments/exchange rate/rounding
CUST-0190,Customer 0190,263.86,1386.06,905.85,1.1718,1153.27,568.84,1.029,1221.9,805.04,1.1207,988.64,216.82,0.9415,220.83,43.03,43.03,Check Adjustments/exchange rate/rounding
CUST-0069,Customer 0069,506.93,251.01,5.83,0.9035,2926.51,2663.39,0.9105,577.6,246.64,0.8502,1013.34,223.63,0.9671,464.3,42.63,42.63,Check Adjustments/exchange rate/rounding
CUST-0549,Customer 0549,1238.93,3801.12,1192.97,0.9279,457.78,332.21,1.0684,1443.24,162.18,1.0974,787.61,438.21,0.9106,1198.27,40.66,40.66,Check Invoice/exchange rate/rounding
CUST-0557,Customer 0557,-1287.07,1531.09,1423.92,0.81,1993.12,1534.2,0.9211,1708.11,510.96,1.0711,545.05,214.78,0.8816,-1327.0,39.93,39.93,Check Credits/exchange rate/rounding
CUST-0335,Customer 0335,-367.54,747.3,720.08,0.9714,1466.75,1232.44,0.9431,1492.55,580.67,0.8851,985.02,185.91,0.8425,-328.39,-39.15,39.15,Check Credits/exchange rate/rounding
CUST-0798,Customer 0798,-1085.07,910.89,264.01,0.9413,3113.44,1492.0,1.1629,380.08,332.95,1.0401,430.12,131.8,0.9361,-1046.43,-38.64,38.64,Check Payments/exchange rate/rounding
CUST-0012,Customer 0012,-707.81,4641.15,2783.28,0.9146,3557.21,613.15,1.0127,1406.48,1373.49,1.0879,1026.23,522.54,1.1412,-743.32,35.51,35.51,Check Payments/exchange rate/rounding
CUST-0519,Customer 0519,-372.71,171.95,26.55,1.0194,2173.41,1658.72,0.8582,421.21,152.76,1.0202,457.73,272.14,0.8921,-401.79,29.08,29.08,Check Payments/exchange rate/rounding
CUST-0089,Customer 0089,-1654.58,890.23,427.85,1.0867,2187.25,160.21,1.1749,697.25,126.29,0.9851,789.96,128.36,1.1468,-1682.83,28.25,28.25,Check Payments/exchange rate/rounding
CUST-0098,Customer 0098,-1205.25,529.48,432.09,0.9978,1561.1,970.69,1.0574,1075.07,360.62,1.0116,581.38,564.19,1.0689,-1231.49,26.24,26.24,Check Credits/exchange rate/rounding
CUST-0165,Customer 0165,2502.63,2818.78,413.98,1.1518,2403.22,1535.07,1.0595,1783.15,1661.39,0.9526,736.84,79.39,1.1311,2477.7,24.93,24.93,Check Invoice/exchange rate/rounding
CUST-0988,Customer 0988,-1312.7,345.52,239.42,1.0196,1867.01,354.07,0.9512,109.09,103.32,1.1907,1221.36,1219.98,0.8755,-1336.59,23.89,23.89,Check Payments/exchange rate/rounding
CUST-0426,Customer 0426,1871.27,4027.26,1576.7,1.0903,2114.65,802.01,1.0584,45.04,8.41,1.0206,1172.13,569.29,1.0772,1894.54,-23.27,23.27,Check Invoice/exchange rate/rounding
CUST-0374,Customer 0374,753.51,1640.76,1327.32,0.9003,652.71,108.11,1.0389,1407.64,1158.19,0.9621,1453.02,355.27,1.184,776.15,-22.64,22.64,Check Adjustments/exchange rate/rounding
CUST-0894,Customer 0894,-636.9,584.73,12.37,1.0441,2092.67,562.33,1.1389,420.01,62.87,0.8979,1346.49,624.56,1.1193,-657.92,21.02,21.02,Check Payments/exchange rate/rounding
CUST-0872,Customer 0872,-618.7,213.39,93.85,0.9831,814.76,199.24,0.9158,1134.52,49.16,1.1499,1231.18,181.06,1.0436,-598.32,-20.38,20.38,Check Credits/exchange rate/rounding
CUST-0774,Customer 0774,-1181.23,4262.23,3760.03,0.8196,3271.26,1460.88,1.0108,1954.22,1861.63,1.101,816.91,478.37,1.0596,-1161.55,-19.68,19.68,Check Payments/exchange rate/rounding
CUST-0003,Customer 0003,4508.85,4307.13,555.75,1.1812,979.42,834.34,1.1067,1138.35,681.49,0.9112,733.45,148.67,1.1517,4527.77,-18.92,18.92,Check Invoice/exchange rate/rounding
CUST-0258,Customer 0258,232.81,615.86,504.89,1.1175,1234.99,574.48,0.9692,221.48,201.11,0.8998,1350.02,554.52,0.9415,214.48,18.33,18.33,Check Adjustments/exchange rate/rounding
CUST-0298,Customer 0298,1843.7,4029.93,669.22,0.8173,1987.92,1171.46,0.8966,1288.75,102.11,0.9111,1401.06,594.07,1.1505,1861.96,-18.26,18.26,Check Invoice/exchange rate/rounding
CUST-0110,Customer 0110,373.08,4522.75,871.04,0.8651,3750.82,1945.1,1.1347,1200.64,176.9,1.0409,572.3,205.74,0.9447,390.82,-17.74,17.74,Check Invoice/exchange rate/rounding
CUST-0255,Customer 0255,774.41,1259.65,153.64,1.1865,149.24,126.28,1.1007,1825.4,981.53,1.0751,1238.1,856.25,0.9897,757.68,16.73,16.73,Check Invoice/exchange rate/rounding
CUST-0976,Customer 0976,2374.39,3079.83,676.27,1.1278,809.23,333.38,0.8884,54.28,48.83,0.8313,166.08,46.37,0.8961,2390.73,-16.34,16.34,Check Invoice/exchange rate/rounding
CUST-0361,Customer 0361,515.78,4663.06,3116.47,1.1323,1272.26,308.88,1.0578,696.39,333.62,0.8687,418.98,344.95,1.1301,500.66,15.12,15.12,Check Invoice/exchange rate/rounding
CUST-0251,Customer 0251,-218.45,3294.46,328.89,1.0136,3885.44,1322.05,0.9917,1666.48,891.25,0.9579,362.52,286.47,0.985,-203.9,-14.55,14.55,Check Invoice/exchange rate/rounding
CUST-0399,Customer 0399,-1559.85,2346.89,1331.74,0.8496,2767.83,434.58,1.0751,1113.73,1113.58,1.1931,1176.36,1059.02,0.8595,-1545.33,-14.52,14.52,Check Payments/exchange rate/rounding
CUST-0881,Customer 0881,-1110.98,2104.79,1063.98,0.8647,2869.91,429.72,0.9246,125.78,34.38,1.0888,356.24,37.7,1.0367,-1125.5,14.52,14.52,Check Payments/exchange rate/rounding
CUST-0929,Customer 0929,2105.1,2962.72,54.63,0.9461,555.41,398.04,1.151,617.94,2.94,0.952,1191.3,1067.38,1.0865,2119.37,-14.27,14.27,Check Invoice/exchange rate/rounding
CUST-0491,Customer 0491,3239.45,3539.81,213.56,1.1836,2353.07,1235.18,0.925,522.01,494.38,0.8828,595.01,150.67,0.8416,3252.47,-13.02,13.02,Check Invoice/exchange rate/rounding
CUST-0528,Customer 0528,2889.42,4977.78,2381.39,1.161,614.11,418.45,0.8793,52.79,40.72,1.0779,124.27,81.08,1.0894,2876.41,13.01,13.01,Check Invoice/exchange rate/rounding
CUST-0776,Customer 0776,159.96,4281.51,2235.48,0.9419,1965.21,147.39,0.815,770.34,329.4,0.8718,161.47,54.14,0.8102,148.18,11.78,11.78,Check Invoice/exchange rate/rounding
CUST-0778,Customer 0778,545.9,897.44,401.51,1.0056,313.04,25.64,1.0196,1095.88,957.4,1.1192,986.23,469.99,0.9382,535.02,10.88,10.88,Check Invoice/exchange rate/rounding
CUST-0794,Customer 0794,-602.96,482.73,332.55,1.1954,614.09,586.69,0.8457,1163.61,479.91,1.0977,67.43,65.32,0.8704,-592.31,-10.65,10.65,Check Credits/exchange rate/rounding
CUST-0464,Customer 0464,1088.73,1576.58,505.66,1.0369,1152.8,1117.47,1.096,533.21,483.2,1.1375,235.89,166.3,0.9159,1078.57,10.16,10.16,Check Invoice/exchange rate/rounding
CUST-0833,Customer 0833,987.65,2041.22,919.73,0.9851,1654.97,1129.17,0.9331,514.94,46.41,0.8361,1064.85,333.18,1.0321,977.57,10.08,10.08,Check Invoice/exchange rate/rounding
CUST-0975,Customer 0975,1334.75,1675.51,292.89,1.0023,305.45,177.82,1.1876,1122.44,875.42,0.9192,963.62,585.94,0.8415,1324.98,9.77,9.77,Check Invoice/exchange rate/rounding
CUST-0683,Customer 0683,-741.12,186.58,139.81,0.8614,1702.85,1294.29,0.8693,1187.57,536.41,1.1108,1436.8,1169.87,1.1471,-731.99,-9.13,9.13,Check Credits/exchange rate/rounding
CUST-0394,Customer 0394,2628.17,3461.87,207.1,0.8044,113.38,74.08,0.9855,266.7,196.91,1.0806,316.77,179.87,0.9712,2636.95,-8.78,8.78,Check Invoice/exchange rate/rounding
CUST-0269,Customer 0269,-321.37,665.9,332.04,1.0894,3806.17,3018.6,1.1668,74.67,68.17,1.0925,1361.18,1075.95,0.8199,-328.47,7.1,7.1,Check Payments/exchange rate/rounding
CUST-0146,Customer 0146,-1327.46,1408.18,452.79,1.1717,2557.98,652.82,1.134,1300.33,941.4,1.0334,1077.15,991.88,1.0732,-1320.43,-7.03,7.03,Check Payments/exchange rate/rounding
CUST-0159,Customer 0159,223.49,3662.27,1597.91,0.9657,3664.11,1652.24,0.9821,7.89,1.52,0.8965,345.23,109.74,0.8739,217.78,5.71,5.71,Check Invoice/exchange rate/rounding
CUST-0418,Customer 0418,-916.62,3906.16,2122.98,1.0111,3147.15,43.97,1.184,405.78,356.13,1.1427,1105.24,92.36,1.0036,-911.4,-5.22,5.22,Check Payments/exchange rate/rounding
CUST-0377,Customer 0377,2023.13,4687.02,3054.39,1.1488,40.52,29.32,0.9023,592.18,46.91,1.0893,1498.13,847.18,1.1593,2026.14,-3.01,3.01,Check Invoice/exchange rate/rounding
CUST-0323,Customer 0323,-313.85,1708.97,9.35,0.9613,2830.72,1750.91,1.1455,1730.48,679.87,0.8253,203.46,45.57,1.0047,-311.51,-2.34,2.34,Check Invoice/exchange rate/rounding
CUST-0044,Customer 0044,-704.6,1630.6,1080.94,1.1717,1789.54,1654.7,0.9592,1993.33,462.5,0.9831,911.0,600.08,0.9141,-706.05,1.45,1.45,Check Credits/exchange rate/rounding
CUST-0227,Customer 0227,-1453.03,221.81,104.24,1.0821,2708.7,1633.9,0.8551,971.08,26.11,1.0792,1495.95,1104.02,0.9173,-1452.13,-0.9,0.9,Check Credits/exchange rate/rounding
CUST-0483,Customer 0483,-261.81,2982.7,1768.61,0.8423,3353.29,2650.48,0.9401,1737.0,955.57,1.1308,1498.59,1192.5,0.8496,-261.67,-0.14,0.14,Check Invoice/exchange rate/rounding
